11/10/18 3:07 PM
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	  111779	506161	                    5124000	                      5126239	  2223	
Remaining:       	   98818	487184	                    4979504	                      4981711	  2196	
Unique:          	   91893	486877	                    5028855	                      5031094	  2223	
Unique Remaining:	   90061	477798	                    4933224	                      4935431	  2196	


Individual File Statistics:

File Name	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
0001.txt 	            93	                 0	             93	                        0	        381	              0	         381	                     0	                             4129	                                    0	                              4129	                                           0	                               4131	                                      0	                                4131	                                             0	
0002.txt 	            67	                 0	             64	                        0	        311	              0	         309	                     0	                             3560	                                    0	                              3549	                                           0	                               3561	                                      0	                                3550	                                             0	
0003.txt 	            79	                 0	             77	                        0	        341	              0	         340	                     0	                             3745	                                    0	                              3739	                                           0	                               3746	                                      0	                                3740	                                             0	
0004.txt 	            97	                 0	             83	                        0	        338	              0	         325	                     0	                             3855	                                    0	                              3800	                                           0	                               3856	                                      0	                                3801	                                             0	
0005.txt 	            85	                 0	             78	                        0	        339	              0	         333	                     0	                             3516	                                    0	                              3491	                                           0	                               3517	                                      0	                                3492	                                             0	
0006.txt 	            73	                 0	             68	                        0	        310	              0	         305	                     0	                             3078	                                    0	                              3054	                                           0	                               3079	                                      0	                                3055	                                             0	
0007.txt 	            72	                 0	             69	                        0	        360	              0	         358	                     0	                             3436	                                    0	                              3423	                                           0	                               3437	                                      0	                                3424	                                             0	
0008.txt 	            84	                 0	             79	                        0	        370	              0	         365	                     0	                             3768	                                    0	                              3746	                                           0	                               3769	                                      0	                                3747	                                             0	
0009.txt 	            85	                 0	             82	                        0	        367	              0	         365	                     0	                             3580	                                    0	                              3570	                                           0	                               3581	                                      0	                                3571	                                             0	
0010.txt 	            62	                 0	             61	                        0	        326	              0	         325	                     0	                             3308	                                    0	                              3304	                                           0	                               3309	                                      0	                                3305	                                             0	
0011.txt 	            83	                 0	             76	                        0	        341	              0	         335	                     0	                             3530	                                    0	                              3503	                                           0	                               3531	                                      0	                                3504	                                             0	
0012.txt 	            61	                 0	             58	                        0	        315	              0	         314	                     0	                             3376	                                    0	                              3367	                                           0	                               3377	                                      0	                                3368	                                             0	
0013.txt 	            65	                 0	             58	                        0	        335	              0	         328	                     0	                             3469	                                    0	                              3438	                                           0	                               3470	                                      0	                                3439	                                             0	
0014.txt 	            51	                 0	             50	                        0	        244	              0	         243	                     0	                             2836	                                    0	                              2833	                                           0	                               2837	                                      0	                                2834	                                             0	
0015.txt 	            70	                 0	             65	                        0	        363	              0	         359	                     0	                             3618	                                    0	                              3600	                                           0	                               3619	                                      0	                                3601	                                             0	
0016.txt 	            58	                 0	             56	                        0	        296	              0	         294	                     0	                             3258	                                    0	                              3251	                                           0	                               3259	                                      0	                                3252	                                             0	
0017.txt 	            70	                 0	             61	                        0	        314	              0	         306	                     0	                             3285	                                    0	                              3250	                                           0	                               3286	                                      0	                                3251	                                             0	
0018.txt 	            64	                 0	             60	                        0	        278	              0	         275	                     0	                             2920	                                    0	                              2904	                                           0	                               2921	                                      0	                                2905	                                             0	
0019.txt 	            75	                 0	             66	                        0	        328	              0	         319	                     0	                             3292	                                    0	                              3252	                                           0	                               3293	                                      0	                                3253	                                             0	
0020.txt 	           134	                 0	            119	                        0	        657	              0	         642	                     0	                             6561	                                    0	                              6491	                                           0	                               6563	                                      0	                                6493	                                             0	
0021.txt 	            57	                 0	             55	                        0	        321	              0	         319	                     0	                             3183	                                    0	                              3173	                                           0	                               3184	                                      0	                                3174	                                             0	
0022.txt 	            67	                 0	             58	                        0	        314	              0	         305	                     0	                             3405	                                    0	                              3366	                                           0	                               3406	                                      0	                                3367	                                             0	
0023.txt 	            67	                 0	             63	                        0	        314	              0	         310	                     0	                             3289	                                    0	                              3269	                                           0	                               3290	                                      0	                                3270	                                             0	
0024.txt 	            66	                 0	             54	                        0	        302	              0	         291	                     0	                             3195	                                    0	                              3141	                                           0	                               3196	                                      0	                                3142	                                             0	
0025.txt 	            56	                 0	             55	                        0	        329	              0	         329	                     0	                             3301	                                    0	                              3299	                                           0	                               3302	                                      0	                                3300	                                             0	
0026.txt 	            48	                 0	             45	                        0	        277	              0	         274	                     0	                             3045	                                    0	                              3031	                                           0	                               3046	                                      0	                                3032	                                             0	
0027.txt 	            62	                 0	             55	                        0	        277	              0	         270	                     0	                             2970	                                    0	                              2939	                                           0	                               2971	                                      0	                                2940	                                             0	
0028.txt 	            53	                40	             47	                       40	        299	            250	         293	                   250	                             3298	                                 2802	                              3273	                                        2802	                               3299	                                   2802	                                3274	                                          2802	
0029.txt 	            52	                35	             50	                       35	        297	            191	         295	                   191	                             3231	                                 2037	                              3220	                                        2037	                               3232	                                   2037	                                3221	                                          2037	
0030.txt 	            60	                50	             49	                       49	        278	            268	         267	                   267	                             3222	                                 3175	                              3169	                                        3169	                               3223	                                   3176	                                3170	                                          3170	
0031.txt 	            57	                54	             53	                       53	        294	            291	         290	                   290	                             3121	                                 3109	                              3104	                                        3104	                               3122	                                   3110	                                3105	                                          3105	
0032.txt 	            66	                60	             60	                       60	        347	            342	         342	                   342	                             3212	                                 3187	                              3187	                                        3187	                               3213	                                   3188	                                3188	                                          3188	
0033.txt 	            71	                55	             55	                       55	        328	            310	         310	                   310	                             3361	                                 3288	                              3288	                                        3288	                               3362	                                   3289	                                3289	                                          3289	
0034.txt 	            63	                52	             52	                       52	        274	            263	         263	                   263	                             2924	                                 2875	                              2875	                                        2875	                               2925	                                   2876	                                2876	                                          2876	
0035.txt 	            58	                43	             43	                       43	        287	            273	         273	                   273	                             3127	                                 3064	                              3064	                                        3064	                               3128	                                   3065	                                3065	                                          3065	
0036.txt 	            57	                50	             50	                       50	        313	            306	         306	                   306	                             3180	                                 3147	                              3147	                                        3147	                               3181	                                   3148	                                3148	                                          3148	
0037.txt 	            59	                50	             50	                       50	        316	            308	         308	                   308	                             3269	                                 3229	                              3229	                                        3229	                               3270	                                   3230	                                3230	                                          3230	
0038.txt 	            56	                51	             49	                       49	        279	            274	         272	                   272	                             2919	                                 2894	                              2883	                                        2883	                               2920	                                   2895	                                2884	                                          2884	
0039.txt 	            62	                52	             52	                       52	        312	            303	         303	                   303	                             3340	                                 3301	                              3301	                                        3301	                               3341	                                   3302	                                3302	                                          3302	
0040.txt 	            69	                60	             59	                       59	        308	            300	         299	                   299	                             3277	                                 3240	                              3235	                                        3235	                               3278	                                   3241	                                3236	                                          3236	
0041.txt 	            53	                50	             50	                       50	        293	            290	         290	                   290	                             3191	                                 3178	                              3178	                                        3178	                               3192	                                   3179	                                3179	                                          3179	
0042.txt 	            64	                58	             58	                       58	        296	            290	         290	                   290	                             3340	                                 3313	                              3313	                                        3313	                               3341	                                   3314	                                3314	                                          3314	
0043.txt 	            76	                62	             61	                       61	        298	            285	         284	                   284	                             3281	                                 3223	                              3217	                                        3217	                               3282	                                   3224	                                3218	                                          3218	
0044.txt 	            60	                53	             52	                       52	        290	            283	         282	                   282	                             3171	                                 3141	                              3136	                                        3136	                               3172	                                   3142	                                3137	                                          3137	
0045.txt 	            70	                63	             63	                       63	        304	            297	         297	                   297	                             3283	                                 3248	                              3248	                                        3248	                               3284	                                   3249	                                3249	                                          3249	
0046.txt 	            52	                47	             47	                       47	        273	            269	         269	                   269	                             3029	                                 3010	                              3010	                                        3010	                               3030	                                   3011	                                3011	                                          3011	
0047.txt 	            74	                60	             60	                       60	        290	            276	         276	                   276	                             3152	                                 3090	                              3090	                                        3090	                               3153	                                   3091	                                3091	                                          3091	
0048.txt 	            58	                53	             52	                       52	        312	            307	         306	                   306	                             3235	                                 3210	                              3204	                                        3204	                               3236	                                   3211	                                3205	                                          3205	
0049.txt 	            56	                48	             48	                       48	        274	            266	         266	                   266	                             2972	                                 2936	                              2936	                                        2936	                               2973	                                   2937	                                2937	                                          2937	
0050.txt 	            67	                57	             56	                       56	        289	            281	         280	                   280	                             3288	                                 3249	                              3244	                                        3244	                               3289	                                   3250	                                3245	                                          3245	
0051.txt 	            70	                63	             62	                       62	        306	            299	         298	                   298	                             3266	                                 3237	                              3233	                                        3233	                               3267	                                   3238	                                3234	                                          3234	
0052.txt 	            74	                67	             62	                       62	        304	            297	         292	                   292	                             3185	                                 3153	                              3131	                                        3131	                               3186	                                   3154	                                3132	                                          3132	
0053.txt 	            73	                61	             58	                       58	        326	            314	         311	                   311	                             3317	                                 3263	                              3249	                                        3249	                               3318	                                   3264	                                3250	                                          3250	
0054.txt 	            79	                67	             66	                       66	        359	            349	         348	                   348	                             3755	                                 3708	                              3704	                                        3704	                               3756	                                   3709	                                3705	                                          3705	
0055.txt 	            70	                58	             56	                       56	        306	            295	         291	                   291	                             3266	                                 3215	                              3198	                                        3198	                               3267	                                   3216	                                3199	                                          3199	
0056.txt 	            73	                67	             63	                       63	        289	            283	         279	                   279	                             3299	                                 3273	                              3253	                                        3253	                               3300	                                   3274	                                3254	                                          3254	
0057.txt 	            61	                58	             55	                       55	        295	            292	         289	                   289	                             3089	                                 3076	                              3062	                                        3062	                               3090	                                   3077	                                3063	                                          3063	
0058.txt 	            58	                50	             50	                       50	        318	            311	         311	                   311	                             3334	                                 3301	                              3301	                                        3301	                               3335	                                   3302	                                3302	                                          3302	
0059.txt 	            57	                51	             50	                       50	        319	            315	         314	                   314	                             3480	                                 3456	                              3451	                                        3451	                               3481	                                   3457	                                3452	                                          3452	
0060.txt 	            64	                58	             58	                       58	        316	            312	         312	                   312	                             3125	                                 3103	                              3103	                                        3103	                               3126	                                   3104	                                3104	                                          3104	
0061.txt 	            59	                55	             55	                       55	        314	            312	         312	                   312	                             3298	                                 3285	                              3285	                                        3285	                               3299	                                   3286	                                3286	                                          3286	
0062.txt 	            42	                39	             38	                       38	        243	            240	         239	                   239	                             2593	                                 2578	                              2574	                                        2574	                               2594	                                   2579	                                2575	                                          2575	
0063.txt 	            55	                49	             46	                       46	        241	            235	         232	                   232	                             2452	                                 2423	                              2405	                                        2405	                               2453	                                   2424	                                2406	                                          2406	
0064.txt 	            45	                37	             37	                       37	        236	            230	         230	                   230	                             2513	                                 2482	                              2482	                                        2482	                               2514	                                   2483	                                2483	                                          2483	
0065.txt 	            46	                41	             39	                       39	        220	            217	         215	                   215	                             2286	                                 2267	                              2258	                                        2258	                               2287	                                   2268	                                2259	                                          2259	
0066.txt 	            61	                51	             51	                       51	        235	            225	         225	                   225	                             2723	                                 2678	                              2678	                                        2678	                               2724	                                   2679	                                2679	                                          2679	
0067.txt 	            51	                39	             38	                       38	        236	            223	         222	                   222	                             2456	                                 2402	                              2396	                                        2396	                               2457	                                   2403	                                2397	                                          2397	
0068.txt 	            54	                47	             44	                       44	        215	            208	         205	                   205	                             2384	                                 2356	                              2341	                                        2341	                               2385	                                   2357	                                2342	                                          2342	
0069.txt 	            54	                44	             42	                       42	        214	            204	         202	                   202	                             2334	                                 2287	                              2278	                                        2278	                               2335	                                   2288	                                2279	                                          2279	
